"member_id","member_name","party","party_bloc","term","wnom_1d","bridged_1d"
"W168182V","김관영","무소속","independent",20,-0.16515251994133,-0.16515251994133
"LH97552Q","김도읍","국민의힘","conservative",20,0.488886684179306,0.488886684179306
"0W194007","김영주","국민의힘","conservative",20,-0.273190557956696,-0.273190557956696
"1MU99298","김철민","더불어민주당","liberal",20,-0.199431762099266,-0.199431762099266
"1WE5693J","김태년","더불어민주당","liberal",20,-0.251619100570679,-0.251619100570679
"09I2323E","김한정","더불어민주당","liberal",20,-0.293996870517731,-0.293996870517731
"SQ36001H","송기헌","더불어민주당","liberal",20,-0.403562873601913,-0.403562873601913
"YOG1280B","안철수","국민의힘","conservative",20,0.0336921215057373,0.0336921215057373
"Q6G2914I","윤종필","미래한국당","conservative",20,0.587202608585358,0.587202608585358
"DKB8522X","정인화","무소속","independent",20,-0.125735342502594,-0.125735342502594
"AFQ26679","주광덕","미래통합당","conservative",20,0.308165371417999,0.308165371417999
"XQ98168F","강길부","무소속","independent",20,0.0459040217101574,0.0459040217101574
"60490713","강병원","더불어민주당","liberal",20,-0.222372204065323,-0.222372204065323
"IH436704","강석진","미래통합당","conservative",20,0.285831570625305,0.285831570625305
"9WQ7845Z","강효상","미래통합당","conservative",20,0.766347527503967,0.766347527503967
"TRE2429O","강훈식","더불어민주당","liberal",20,-0.453079134225845,-0.453079134225845
"6V37131U","고용진","더불어민주당","liberal",20,-0.157272577285767,-0.157272577285767
"Q6A9034Q","곽대훈","무소속","independent",20,0.676574170589447,0.676574170589447
"RH454994","권미혁","더불어민주당","liberal",20,-0.479862451553345,-0.479862451553345
"C7E79345","권칠승","더불어민주당","liberal",20,-0.268931180238724,-0.268931180238724
"B7R2742J","기동민","더불어민주당","liberal",20,-0.255719095468521,-0.255719095468521
"ZKU88693","김경협","더불어민주당","liberal",20,-0.559587478637695,-0.559587478637695
"OC037566","김규환","미래한국당","conservative",20,0.511062324047089,0.511062324047089
"DCR84445","김동철","민생당","liberal_minor",20,0.0318118371069431,0.0318118371069431
"NTT8182Q","김민기","더불어민주당","liberal",20,-0.492212116718292,-0.492212116718292
"QB390802","김병관","더불어민주당","liberal",20,-0.383285462856293,-0.383285462856293
"GFF1986K","김병욱","더불어민주당","liberal",20,-0.239610329270363,-0.239610329270363
"DTG4846A","김선동","미래통합당","conservative",20,0.490612417459488,0.490612417459488
"RCF90176","김성식","무소속","independent",20,-0.142454698681831,-0.142454698681831
"5K343700","김수민","민생당","liberal_minor",20,0.0223182495683432,0.0223182495683432
"8WC7967F","김승희","미래한국당","conservative",20,0.663320660591125,0.663320660591125
"5765663F","김영진","더불어민주당","liberal",20,-0.191238507628441,-0.191238507628441
"7BM2933Y","김영호","더불어민주당","liberal",20,-0.448378920555115,-0.448378920555115
"6RP89579","김정우","더불어민주당","liberal",20,-0.233145162463188,-0.233145162463188
"I0F2578R","김종대","정의당","progressive",20,-0.863533079624176,-0.863533079624176
"HTK5293K","김종회","무소속","independent",20,-0.177923411130905,-0.177923411130905
"A935446Z","김종훈","민중당","independent",20,-0.91837865114212,-0.91837865114212
"SY09851R","김중로","민생당","liberal_minor",20,0.151874825358391,0.151874825358391
"N6C1899K","김진태","미래통합당","conservative",20,0.720260322093964,0.720260322093964
"YBM9779M","김한표","미래통합당","conservative",20,0.311601608991623,0.311601608991623
"CXA6162I","김현아","미래통합당","conservative",20,0.45588219165802,0.45588219165802
"WV97281W","문진국","미래한국당","conservative",20,0.228112250566483,0.228112250566483
"Y3E8697I","민경욱","미래통합당","conservative",20,0.487427175045013,0.487427175045013
"EUR98126","박맹우","미래한국당","conservative",20,0.34841388463974,0.34841388463974
"YLM92014","박순자","미래통합당","conservative",20,-0.0168350376188755,-0.0168350376188755
"A3H7195R","박완주","무소속","independent",20,-0.252228915691376,-0.252228915691376
"IQ54138I","박인숙","미래통합당","conservative",20,0.47676220536232,0.47676220536232
"XT18076X","박주선","민생당","liberal_minor",20,-0.252081453800201,-0.252081453800201
"UDB4825U","박주현","민생당","liberal_minor",20,-0.555787980556488,-0.555787980556488
"8EL9225R","박준영","민주평화당","independent",20,-0.36901068687439,-0.36901068687439
"BT62420K","박찬대","더불어민주당","liberal",20,-0.333940923213959,-0.333940923213959
"9CR4440H","배덕광","자유한국당","conservative",20,0.468810170888901,0.468810170888901
"8DK7238W","백재현","더불어민주당","liberal",20,-0.358486175537109,-0.358486175537109
"TKJ4800F","서영교","더불어민주당","liberal",20,-0.288849085569382,-0.288849085569382
"7XY7109I","성일종","국민의힘","conservative",20,0.479638248682022,0.479638248682022
"ZDR63255","소병훈","더불어민주당","liberal",20,-0.396101415157318,-0.396101415157318
"ZBX31520","손혜원","열린민주당","liberal_minor",20,-0.5337153673172,-0.5337153673172
"CNW5754J","송석준","국민의힘","conservative",20,0.338822811841965,0.338822811841965
"FGX4881A","심재철","미래통합당","conservative",20,0.461816400289536,0.461816400289536
"TST4507I","안규백","더불어민주당","liberal",20,-0.294784665107727,-0.294784665107727
"XEF29171","안호영","더불어민주당","liberal",20,-0.185266777873039,-0.185266777873039
"B6F5266B","엄용수","자유한국당","conservative",20,0.492442637681961,0.492442637681961
"6DG91769","원혜영","더불어민주당","liberal",20,-0.226237833499908,-0.226237833499908
"RQQ3807K","위성곤","더불어민주당","liberal",20,-0.496731668710709,-0.496731668710709
"GX38539O","유동수","더불어민주당","liberal",20,-0.223613753914833,-0.223613753914833
"I7Z3068X","유성엽","민생당","liberal_minor",20,-0.199158683419228,-0.199158683419228
"8X46899U","윤소하","정의당","progressive",20,-0.871887266635895,-0.871887266635895
"U9G5099O","윤영일","민생당","liberal_minor",20,-0.138239905238152,-0.138239905238152
"I7R13867","이개호","더불어민주당","liberal",20,-0.277634382247925,-0.277634382247925
"OQO34632","이동섭","민생당","liberal_minor",20,-0.0667383819818497,-0.0667383819818497
"X9Y63914","이용주","무소속","independent",20,-0.242625027894974,-0.242625027894974
"3ZR4438W","이인영","더불어민주당","liberal",20,-0.444072008132935,-0.444072008132935
"2SE64657","이장우","미래통합당","conservative",20,0.532267570495605,0.532267570495605
"UQ282145","이재정","더불어민주당","liberal",20,-0.562840461730957,-0.562840461730957
"7AN97172","이정현","무소속","independent",20,0.198628261685371,0.198628261685371
"2XI97689","이종구","미래통합당","conservative",20,0.498731851577759,0.498731851577759
"11N7618M","이종명","미래한국당","conservative",20,0.397325217723846,0.397325217723846
"8IN46764","이주영","미래통합당","conservative",20,0.371208280324936,0.371208280324936
"0ID22746","이진복","미래통합당","conservative",20,0.596253156661987,0.596253156661987
"LSK9789D","이철희","더불어민주당","liberal",20,-0.29217666387558,-0.29217666387558
"K5F2023J","이학영","더불어민주당","liberal",20,-0.368055880069733,-0.368055880069733
"EH27538E","임이자","국민의힘","conservative",20,0.281023383140564,0.281023383140564
"V8I36226","장병완","민생당","liberal_minor",20,-0.162798419594765,-0.162798419594765
"9YO73104","전재수","더불어민주당","liberal",20,-0.343500852584839,-0.343500852584839
"QZF33498","전희경","미래통합당","conservative",20,0.895599603652954,0.895599603652954
"0E97245Y","정양석","미래통합당","conservative",20,0.318613469600677,0.318613469600677
"8KB8281W","제윤경","더불어민주당","liberal",20,-0.406412392854691,-0.406412392854691
"5KV82250","조경태","국민의힘","conservative",20,0.519393563270569,0.519393563270569
"D397960C","조훈현","미래한국당","conservative",20,0.402339577674866,0.402339577674866
"ZJI5740K","최운열","더불어민주당","liberal",20,-0.258775621652603,-0.258775621652603
"EX94352K","표창원","더불어민주당","liberal",20,-0.282749325037003,-0.282749325037003
"1KD95875","함진규","미래통합당","conservative",20,0.26279154419899,0.26279154419899
"KR14136C","홍영표","새로운미래","centrist",20,-0.276458263397217,-0.276458263397217
"0VU8517U","황희","더불어민주당","liberal",20,-0.300057083368301,-0.300057083368301
"MHK9919B","곽상도","무소속","independent",20,0.869097113609314,0.869097113609314
"YKW37422","권은희","국민의힘","conservative",20,-0.101612724363804,-0.101612724363804
"PP08673W","김경수","더불어민주당","liberal",20,-0.242430448532104,-0.242430448532104
"YVN3115U","김경진","무소속","independent",20,-0.23053389787674,-0.23053389787674
"3NM5411H","김광수","무소속","independent",20,-0.518548488616943,-0.518548488616943
"NNP30098","김기선","미래한국당","conservative",20,0.650897800922394,0.650897800922394
"9EA39580","김명연","미래통합당","conservative",20,0.420007020235062,0.420007020235062
"8Q88373R","김병기","무소속","independent",20,-0.345233172178268,-0.345233172178268
"1Y73132H","김상훈","국민의힘","conservative",20,0.421826750040054,0.421826750040054
"GXT11570","김성수","더불어민주당","liberal",20,-0.386518746614456,-0.386518746614456
"9D939735","김성원","국민의힘","conservative",20,0.282081544399261,0.282081544399261
"BQS2021C","김성태","미래통합당","conservative",20,0.185148194432259,0.185148194432259
"7KD2317D","김순례","미래한국당","conservative",20,0.518781661987305,0.518781661987305
